Gene	SJHBBBM4X52	SJHBBBM4JQZ	SJHBBBM5SGJ	SJHBBBM5TXY	SJHBBBM2GV5	SJHBBBM39BT	SJHBBBM67H6	SJHBBBM2BBR	SJHBBBN9RBJ	SJHBBBM4PX3	SJHBBBN9RDM	SJHBBBN9R9H	SJHBBBM588V	SJHBBBN9RFN	SJHBBBM55F5	SJHBBBM5GW9	SJHBBBM5PY5	SJHBBBM52XR	SJHBBBM5YWS
RXFP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RXFP4	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0
RXRA	2549	1349	1835	489	3530	1670	2808	7748	469	1871	1194	1665	937	1106	1111	2656	678	4193	656
RXRB	5593	6865	6722	5660	11975	7454	7516	15785	4047	4469	5287	6167	2858	3728	2266	5893	3679	4233	1423
RXRG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RYBP	6096	8082	5494	7344	13486	5396	5902	12051	5933	3721	7080	5632	1241	1814	2494	5141	3348	993	2710
RYK	1786	2060	2523	1172	2900	1588	2939	3521	792	1008	1507	1292	551	1015	888	1133	925	1110	983
RYKP1	1	1	0	0	3	1	5	0	0	0	2	1	0	2	4	0	1	0	1
RYR1	75	12	15	13	128	28	21	13	4	0	9	9	2	4	0	62	5	300	1
RYR2	2	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RYR3	1907	263	1641	1723	495	1368	251	124	12	40	130	28	11	28	65	288	14	81	13
S100A1	151	285	28	472	189	271	552	561	779	306	498	407	331	527	535	811	482	189	38
S100A10	785	272	129	199	209	132	563	435	118	66	222	159	30	346	14	616	147	177	174
S100A11	365	145	81	37	117	63	55	42	16	37	18	20	4	47	9	384	23	40	18
S100A11P1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S100A11P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A12	30	10	15	0	16	2	0	1	2	15	21	10	14	33	14	40	6	14	2
S100A13	137	256	266	169	365	303	383	505	362	257	214	313	183	447	146	419	195	158	145
S100A14	4	1	2	2	3	0	15	22	3	3	14	6	7	12	1	12	3	6	4
S100A16	221	105	92	8	928	130	21397	30349	7614	123	13852	14982	6497	14558	5983	11352	11716	901	6497
S100A2	3	9	11	0	10	3	88	83	29	6	46	35	18	24	15	28	20	19	19
S100A3	1	0	1	2	2	1	23	26	4	0	6	20	9	18	5	17	8	8	1
S100A4	2252	1303	2387	833	1561	447	3372	2280	1982	1768	1958	2112	793	2042	866	1971	1108	5735	435
S100A5	6	7	3	2	14	4	14	30	10	7	16	16	3	6	2	8	4	16	4
S100A6	1711	1478	966	660	2423	558	2481	1718	3568	1107	1434	1660	684	2271	757	2072	1083	2883	1586
S100A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
S100A7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A7L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A8	555	80	194	29	332	47	14	9	4	75	145	130	33	386	28	434	51	107	74
S100A9	919	178	393	46	595	99	91	137	54	248	319	546	374	859	502	862	405	257	186
S100B	1	26	47	41	53	16	19	18	20	11	2	3	6	41	3	61	19	16	2
S100G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100P	24	8	2	95	0	3	31	7	6	1	2	5	5	5	0	2	3	5	2
S100PBP	5978	5655	7216	5291	7563	5110	4186	9160	1962	2885	2066	2495	1037	1439	2317	3071	1854	4087	1017
S100Z	666	789	1463	620	1775	841	201	1676	859	700	427	761	207	522	472	86	448	218	0
S1PR1	2668	1558	1832	714	632	686	2930	613	938	1440	2495	760	124	1698	302	2581	422	1312	34
S1PR2	1471	656	707	1078	1092	1110	79	88	112	8	63	50	13	39	6	26	22	446	143
S1PR3	356	99	198	265	386	357	48	15	64	153	10	6	1	4	8	50	13	162	4
S1PR4	3803	4739	4539	1067	11326	5992	2142	6514	1171	2554	1637	1435	783	1200	1878	6040	482	2195	275
S1PR5	998	102	77	159	146	35	314	56	39	32	100	252	10	133	23	476	47	30	12
SAA1	0	10	0	40	3	26	0	0	1	0	0	1	0	0	0	0	0	0	0
SAA2	0	2	0	16	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0
SAA2-SAA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAA3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAA4	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
SAAL1	1077	1042	1248	1740	2232	1306	1524	2740	815	896	1085	1118	505	765	522	814	835	1661	733
SAC3D1	278	398	226	85	1271	570	99	616	83	220	31	126	63	182	94	361	39	263	37
SACM1L	4375	4906	5297	3455	5227	3528	3569	6786	1384	2250	2443	2165	842	983	1424	2226	1339	2239	1085
SACS	2489	3713	3216	2858	1608	1591	6053	4695	2899	1276	4564	2628	864	1027	1014	1356	2024	2512	4936
SACS-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAE1	3370	4429	4732	3744	12065	7010	3831	12500	2797	3890	1821	4212	1833	2813	2306	4764	1984	3831	1749
SAFB	6611	8448	7733	6104	19776	10463	8292	15788	4256	4999	5099	6139	1948	4388	2860	6514	3480	8220	5721
SAFB2	5849	4880	5317	3543	14142	6186	5356	8515	3581	2897	3316	3712	1548	2901	1927	4528	1879	6361	4670
SAG	6	4	0	10	6	14	52	6	51	6	48	25	5	26	10	40	9	3	15
SAGE1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
SAGE2P	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SAGE3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAGE4P	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0
SALL1	2	19	60	29	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL2	422	905	166	247	1044	606	223	1577	184	411	139	113	274	157	274	1265	106	49	31
SALL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL4	3660	186	4825	1977	6517	29	272	116	145	457	293	26	48	12	24	294	26	1840	786
SALL4P1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
SALL4P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL4P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL4P6	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1
SALL4P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALRNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALRNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALRNA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD1	1790	1834	1989	1429	5225	2523	3257	4412	1060	1611	991	2052	897	2187	948	2362	898	1983	424
SAMD10	445	326	535	130	734	619	176	219	177	35	83	161	31	104	81	166	43	583	204
SAMD11	3	0	0	6	9	1	24	2	24	2	3	2	3	5	11	0	7	3	1
